#{"t_start": 1741385346.9208233, "env_id": "None"}
r,l,t
-10374.0,288,3.14145
-10162.0,288,3.607106
-10658.0,288,4.074028
-11085.0,288,4.557936
-10816.0,288,5.013151
-10326.0,288,5.484013
-11573.0,288,5.97105
-11604.0,288,7.715602
-12405.0,288,8.200511
-12162.0,288,8.858469
-12217.0,288,9.326355
-10882.0,288,9.797754
-10887.0,288,10.28263
-11636.0,288,10.753178
-11052.0,288,12.512029
-10306.0,288,12.9802
-11181.0,288,13.449567
-10614.0,288,17.498526
-11611.0,288,18.006013
-11872.0,288,18.485634
-11977.0,288,18.962687
-12233.0,288,20.607611
-11150.0,288,21.076226
-12155.0,288,21.559381
-11355.0,288,22.091472
-11688.0,288,22.591527
-12576.0,288,23.0595
-11223.0,288,23.556179
-11588.0,288,25.405567
-12479.0,288,25.874299
-11687.0,288,26.359044
-14442.0,288,26.82689
-10393.0,288,27.371786
-11317.0,288,27.861881
-11075.0,288,31.60929
-10967.0,288,33.671784
-11205.0,288,34.139749
-13457.0,288,34.624891
-12329.0,288,35.093826
-11319.0,288,35.568176
-11968.0,288,36.032852
-10822.0,288,36.502624
-10785.0,288,38.259472
-11933.0,288,38.761458
-11794.0,288,39.243882
-12928.0,288,39.702772
-10229.0,288,40.172458
-9444.0,288,40.871493
-10699.0,288,41.343992
-11264.0,288,43.092175
-11892.0,288,43.578013
-11964.0,288,44.055632
-12762.0,288,47.291613
-12348.0,288,48.078571
-9584.0,288,48.554704
-11417.0,288,49.020324
-11722.0,288,50.687451
-9521.0,288,51.171652
-12339.0,288,51.642806
-10867.0,288,52.127681
-11996.0,288,52.595113
-14143.0,288,53.132685
-10874.0,288,53.596584
-9259.0,288,54.076275
-10807.0,288,55.71401
-11925.0,288,56.423594
-10465.0,288,56.894186
-12979.0,288,57.361513
-10484.0,288,57.829344
-10838.0,288,61.643412
-12475.0,288,62.113141
-11546.0,288,63.85989
-12272.0,288,64.581187
-11806.0,288,65.05556
-12882.0,288,65.533445
-9345.0,288,65.999851
-12398.0,288,66.470518
-12287.0,288,66.956168
-11356.0,288,68.675887
-12586.0,288,69.145838
-10487.0,288,69.644318
-11621.0,288,70.112844
-11628.0,288,70.580269
-11325.0,288,71.046726
-11155.0,288,71.741345
-10338.0,288,73.401411
-13523.0,288,77.284256
-10807.0,288,77.754906
-11854.0,288,78.222394
-10534.0,288,78.725085
-10228.0,288,79.253202
-11803.0,288,79.940663
-10273.0,288,81.598022
-11650.0,288,82.066372
-10456.0,288,82.532601
-11479.0,288,83.015204
-12860.0,288,83.485965
-9917.0,288,84.00045
-12108.0,288,84.478166
-11062.0,288,86.143438
-11607.0,288,86.612916
-11919.0,288,87.082436
-10811.0,288,87.566568
-9564.0,288,88.254163
-12681.0,288,92.114347
-9660.0,288,92.583054
-9387.0,288,94.28699
-10945.0,288,94.778659
-11709.0,288,95.254547
-11050.0,288,95.724213
-11206.0,288,96.412241
-10987.0,288,96.896048
-9980.0,288,97.379035
-11366.0,288,99.037088
-11935.0,288,99.582731
-11890.0,288,100.067218
-11050.0,288,100.551456
-11120.0,288,101.015662
-9163.0,288,101.488081
-10343.0,288,101.961009
-11216.0,288,103.599011
-13050.0,288,107.5996
-11654.0,288,108.072106
-11976.0,288,108.542441
-13238.0,288,109.000623
-11096.0,288,109.486511
-9749.0,288,110.038289
-11812.0,288,110.506609
-11393.0,288,112.394828
-11590.0,288,112.867986
-9869.0,288,113.333388
-11369.0,288,113.822479
-10160.0,288,114.287719
-10135.0,288,114.756808
-11724.0,288,115.299129
-10516.0,288,116.994675
-12348.0,288,117.449788
-10107.0,288,117.922076
-12079.0,288,121.894329
-10489.0,288,122.352725
-12385.0,288,122.837237
-12311.0,288,123.320872
-12264.0,288,124.981466
-10868.0,288,125.503666
-10932.0,288,125.991555
-11263.0,288,126.454783
-11238.0,288,126.955986
-10559.0,288,127.662763
-11771.0,288,128.146286
-11356.0,288,129.804222
-12275.0,288,130.322329
-10945.0,288,130.832489
-12323.0,288,131.321309
-12514.0,288,131.788877
-10453.0,288,132.27372
-10123.0,288,132.72578
-11662.0,288,137.916027
-11614.0,288,138.403299
-11964.0,288,138.883258
-12223.0,288,139.350474
-11537.0,288,139.819141
-14649.0,288,140.292296
-9903.0,288,140.760259
-10721.0,288,142.403051
-9541.0,288,142.95107
-11342.0,288,143.428895
-11426.0,288,144.117999
-11863.0,288,144.603262
-11347.0,288,145.082521
-9865.0,288,145.556111
-10642.0,288,147.451473
-12124.0,288,147.919648
-12873.0,288,148.470555
-9889.0,288,152.283615
-10743.0,288,152.751416
-10036.0,288,153.298301
-11068.0,288,153.804926
-13009.0,288,155.433064
-11710.0,288,155.934763
-9734.0,288,156.413085
-10342.0,288,156.868628
-11518.0,288,157.354562
-12376.0,288,157.822808
-11043.0,288,158.309197
-11628.0,288,160.279588
-11554.0,288,160.779222
-13731.0,288,161.252189
-12007.0,288,161.72288
-11382.0,288,162.211943
-10124.0,288,162.668658
-10801.0,288,166.38134
-12259.0,288,167.101661
-9706.0,288,168.814427
-10706.0,288,169.291778
-11655.0,288,169.764818
-11063.0,288,170.244886
-9568.0,288,170.716343
-11717.0,288,171.230915
-11154.0,288,171.699454
-11292.0,288,173.362022
-11237.0,288,173.857029
-10593.0,288,174.371472
-11437.0,288,174.839345
-9614.0,288,175.55982
-11076.0,288,176.024076
-11433.0,288,176.482041
-10195.0,288,178.149518
-11287.0,288,178.620064
-10852.0,288,182.262367
-11109.0,288,182.745719
-11546.0,288,183.439688
-10824.0,288,183.903343
-11766.0,288,184.45974
-11870.0,288,186.087239
-11854.0,288,186.567797
-10521.0,288,187.034779
-11801.0,288,187.503261
-11801.0,288,187.971415
-12917.0,288,188.442207
-12827.0,288,188.912566
-11684.0,288,190.652774
-12480.0,288,191.360146
-12160.0,288,191.824913
-12031.0,288,192.296848
-11553.0,288,192.762177
-10713.0,288,196.471527
-12518.0,288,196.926815
-10918.0,288,198.622708
-12453.0,288,199.321115
-9269.0,288,199.874502
-10656.0,288,200.3527
-10692.0,288,200.82543
-13552.0,288,201.294667
-13155.0,288,201.784087
-12165.0,288,203.46699
-12413.0,288,203.937238
-11808.0,288,204.405532
-10845.0,288,204.945843
-14381.0,288,205.423294
-10371.0,288,205.897339
-10707.0,288,206.607852
-10383.0,288,208.247438
-12788.0,288,208.746057
-11430.0,288,212.326523
-11400.0,288,212.812235
-12087.0,288,213.269794
-11703.0,288,213.754827
-11438.0,288,214.44182
-9886.0,288,216.20198
-10277.0,288,216.702866
-12679.0,288,217.185914
-12270.0,288,217.654775
-13537.0,288,218.122944
-10845.0,288,218.590614
-11684.0,288,219.061382
-11473.0,288,219.574049
-13549.0,288,221.311782
-10852.0,288,221.784185
-11652.0,288,222.473769
-12606.0,288,222.961371
-10352.0,288,226.688919
-11150.0,288,227.153318
-11068.0,288,227.622466
-10872.0,288,229.281389
-12409.0,288,229.735287
-10819.0,288,230.438726
-10466.0,288,230.975201
-11715.0,288,231.463307
-10371.0,288,231.927602
-10561.0,288,232.398752
-9992.0,288,234.07779
-10143.0,288,234.593886
-10916.0,288,235.12449
-11954.0,288,235.608907
-10515.0,288,236.157908
-11970.0,288,236.651431
-11938.0,288,237.140994
-12803.0,288,242.230032
-13080.0,288,242.703232
-12734.0,288,243.17359
-12449.0,288,243.65768
-11457.0,288,244.141834
-12087.0,288,244.625122
-11060.0,288,245.093591
-10440.0,288,247.07995
-11707.0,288,247.556495
-11807.0,288,248.041732
-11340.0,288,248.505652
-10825.0,288,248.976661
-12548.0,288,249.44413
-11166.0,288,249.91567
-10838.0,288,251.674308
-11709.0,288,252.142556
-10330.0,288,252.611492
-11024.0,288,253.094933
-10055.0,288,256.846549
-13504.0,288,257.317744
-11784.0,288,257.800689
-12498.0,288,259.434056
-12447.0,288,259.921692
-13500.0,288,260.374927
-12337.0,288,260.861929
-12514.0,288,261.621219
-10390.0,288,262.116709
-11468.0,288,262.579988
-11179.0,288,264.253289
-12434.0,288,264.723214
-12773.0,288,265.204602
-12805.0,288,265.676382
-13756.0,288,266.146488
-10988.0,288,266.635832
-12337.0,288,267.149035
-11438.0,288,272.080059
-11069.0,288,272.603619
-10725.0,288,273.081477
-11063.0,288,273.548863
-12700.0,288,274.033723
-11933.0,288,274.505319
-11304.0,288,275.006391
-11517.0,288,275.462587
-10476.0,288,277.463146
-11511.0,288,277.942849
-11795.0,288,278.409855
-10670.0,288,278.895445
-12591.0,288,279.366353
-11054.0,288,279.835107
