#{"t_start": 1739931590.9300845, "env_id": "None"}
r,l,t
-11012.0,288,1.985225
-13444.0,288,2.488626
-9912.0,288,3.015634
-12764.0,288,3.494057
-10643.0,288,3.990659
-14573.0,288,4.515876
-9075.0,288,5.045203
-10445.0,288,6.704032
-10289.0,288,7.318785
-11230.0,288,7.804284
-11048.0,288,8.272227
-12094.0,288,8.758067
-11719.0,288,9.244117
-11174.0,288,9.760859
-11409.0,288,11.454868
-9966.0,288,11.957926
-13098.0,288,12.585171
-11741.0,288,16.352178
-9935.0,288,16.862506
-10956.0,288,17.486702
-10059.0,288,18.008222
-10279.0,288,19.734653
-11898.0,288,20.317612
-12759.0,288,20.785206
-11318.0,288,21.271793
-13666.0,288,21.742264
-10920.0,288,22.230092
-11833.0,288,22.859683
-11812.0,288,24.548726
-13108.0,288,25.055792
-11891.0,288,25.565978
-10609.0,288,26.097856
-11555.0,288,26.595325
-13052.0,288,27.10267
-11675.0,288,31.06921
-11576.0,288,32.937216
-10541.0,288,33.440773
-13574.0,288,34.078253
-13298.0,288,34.785232
-10928.0,288,35.307142
-12466.0,288,36.044652
-12447.0,288,36.904027
-11991.0,288,39.586183
-11598.0,288,40.132683
-12612.0,288,40.635924
-10533.0,288,41.119457
-10813.0,288,41.770972
-11507.0,288,42.258599
-12868.0,288,42.761044
-12546.0,288,44.612824
-11666.0,288,45.214841
-10816.0,288,45.754836
-11961.0,288,50.28139
-10574.0,288,50.860004
-11663.0,288,51.433793
-12001.0,288,52.01501
-12014.0,288,53.899932
-10308.0,288,54.453743
-9770.0,288,55.115278
-11886.0,288,55.608972
-9720.0,288,56.108935
-10649.0,288,56.611955
-9688.0,288,57.116254
-12378.0,288,57.601094
-10663.0,288,59.422159
-12933.0,288,59.913233
-11406.0,288,60.591892
-11535.0,288,61.08279
-11959.0,288,61.586272
-10859.0,288,65.610746
-10269.0,288,66.099967
-9961.0,288,67.890484
-11622.0,288,68.42739
-11321.0,288,68.961984
-14111.0,288,69.463348
-10171.0,288,69.98924
-12479.0,288,70.526026
-10695.0,288,71.372784
-11135.0,288,73.192502
-11125.0,288,73.776276
-10490.0,288,74.282281
-11410.0,288,74.80357
-9956.0,288,75.323377
-12119.0,288,75.875679
-13042.0,288,76.395439
-11545.0,288,78.439923
-10192.0,288,82.495268
-11655.0,288,82.998087
-9634.0,288,83.523939
-10696.0,288,84.340248
-10962.0,288,84.860027
-10046.0,288,85.39958
-9743.0,288,87.263501
-11035.0,288,87.748549
-12953.0,288,88.452834
-10428.0,288,89.017436
-10273.0,288,89.649231
-10446.0,288,90.293861
-9436.0,288,90.847735
-9913.0,288,92.970989
-14280.0,288,93.538857
-12453.0,288,94.012152
-12852.0,288,94.500085
-11559.0,288,94.972539
-10456.0,288,98.965683
-11988.0,288,99.45083
-9944.0,288,101.191622
-12458.0,288,101.673508
-11767.0,288,102.287094
-11700.0,288,102.769677
-11050.0,288,103.243524
-10573.0,288,103.787582
-10658.0,288,104.257654
-11059.0,288,106.023941
-8580.0,288,106.525445
-11227.0,288,107.011375
-12556.0,288,107.625899
-11265.0,288,108.096061
-11053.0,288,108.568523
-12527.0,288,109.055354
-11448.0,288,110.78094
-12050.0,288,114.751158
-11497.0,288,115.270118
-11103.0,288,115.774686
-11950.0,288,116.259465
-11323.0,288,116.729628
-12422.0,288,117.21729
-11907.0,288,117.692408
-12284.0,288,119.552943
-10240.0,288,120.043544
-10300.0,288,120.578526
-11245.0,288,121.084454
-10548.0,288,121.5704
-10334.0,288,122.05753
-10674.0,288,122.527836
-11094.0,288,124.279665
-12181.0,288,124.891546
-9795.0,288,125.378017
-10289.0,288,129.283015
-13776.0,288,129.750195
-12710.0,288,130.362098
-13484.0,288,130.920701
-10038.0,288,132.590614
-9630.0,288,133.078766
-10878.0,288,133.580758
-12787.0,288,134.051416
-10100.0,288,134.521536
-11852.0,288,134.995048
